323|Cebollitas en Vinagre de Alcohol x 1 kg|6.213|frasco|6  
600|Aceto Balsamico Arezzo x 500 CC|1.520|Bot. Plastico|12  
601|Aceto Balsamico Reducción Arezzo x 500 CC|2.030|Bot. Plastico|12 
